8,Top Great Tyre & Auto Services,Liew,,,4,,1,,,June,Tyre Dealer ,Own Signage,Hulu Langat,Selangor,"No. 7, Jalan Besar, Hulu Langat 43100 Malaysia",https://share.google/GYECpX0LjlrIn8uyz,https://wa.me/60127927957,Y,60127927957,6012-7927 957,"[""TPMS"",""Inflator""]",wix:image://v1/7bdb27_48e4226c63bc44e69c28f6b5d0ef1626~mv2.png/TPMS_Inflator.png#originWidth=3160&originHeight=670,
9,Menang Tyre Auto Services (M) Sdn Bhd,Liew,160,1,10,,,,June 2025,June,WorkShop,Castrol,Cheras,Kuala Lumpur,"No. 1A, Jalan Pinggiran Minang 3, Taman Minang, Cheras 56000 Malaysia",https://share.google/BGjtDwUPGKbOwACQg,https://wa.me/60122913263,Y,60122913263,6012-2913 263,"[""Wiper"",""TPMS"",""Windshield Fluid""]",wix:image://v1/7bdb27_adbec41bc94a459ea80aa3326c137481~mv2.png/Wiper_TPMS_Fluid.png#originWidth=3160&originHeight=670,
10,We Power Tyre & Service Centre,Liew,,,3,,,,,June,WorkShop,Castrol,Seri Kembangan,Selangor,"No.2-1,Jalan Equine 10C, Taman Equine Seri Kembangan 43300 Malaysia",https://share.google/WzDaFZlpuHxFfB2AK,https://wa.me/60166308566,Y,60166308566,6016-6308 566,"[""TPMS""]",wix:image://v1/7bdb27_dfd7eacbc63c4dd3a1dbd713d55f4024~mv2.png/TPMS.png#originWidth=3160&originHeight=670,
11,Vogue Motorsports Sdn Bhd,Liew,,,,20,,,,June,Tyre Dealer ,Bridgestone,Subang Jaya,Selangor,"No. 19 , Jalan USJ 19/4, Subang Jaya 47630 Malaysia",https://share.google/AVCvKhn7pJeBVLTZl,https://wa.me/60123237713,Y,60123237713,6012-3237 713,"[""Valve""]",wix:image://v1/7bdb27_110173656c8c4335aecf23f4833f5b9f~mv2.png/Valve.png#originWidth=3160&originHeight=670,
12,Speed Line Tyres Services Centre Sdn Bhd,Liew,,3,30,10,10,,Sept 2025,June,Tyre Dealer ,Falken,Petaling Jaya,Selangor,"47-1 & 47-2, Jalan PJU 5/9, Dataran Sunway Damansara Petaling Jaya 47810 Malaysia",https://share.google/XApKeawmuPoAI33jr,https://wa.me/60123883334,Y,60123883334,6012-3883 334,"[""Valve"",""Windshield Fluid"",""TPMS""]",wix:image://v1/7bdb27_52001d66d1ce40e2bdaf7ccb81b88ab1~mv2.png/Fluid_TPMS_Valve.png#originWidth=3160&originHeight=670,
13,VK Ben Auto Sdn Bhd,Liew,180,,,10,,,June 2025,June,WorkShop,Castrol,Subang Jaya,Selangor,"A1, Jalan SS 15 / 4 D, Subang Jaya 47500 Malaysia",https://share.google/zOkBfgSBRvaOTx1aL,https://wa.me/60178786123,Y,60178786123,6017-8786 123,"[""Wiper"",""Valve""]",wix:image://v1/7bdb27_2471275e9d3f4377995d5e5cd7bfb5c0~mv2.png/Wiper_Valve.png#originWidth=3160&originHeight=670,
14,Profix Auto Tyres Services Sdn Bhd,Liew,110,,,,,,June 2025,June,Tyre Dealer ,Tayaria,Sungai Buloh,Selangor,"Lot 2374, Jalan 1A/1, Bandar Baru Sungai Buloh, Sungai Buloh, Selangor 47000",https://share.google/7guxKXCieSxlOxGj0,https://wa.me/60123550350,Y,60123550350,6012-3550 350,"[""Wiper""]",wix:image://v1/7bdb27_5062baa20f3445619f68013df5fd93f8~mv2.png/Wiper%20(1).png#originWidth=3160&originHeight=670,
15,CNN Tyre & Services Sdn Bhd,Alan,,,1,10,1,,,June,Tyre Dealer ,Hoe Guan,Subang Jaya,Selangor,"No.67,Jalan Nilam 1/2, Subang Hi-Tech Industrial Park, Subang Jaya 47500 Malaysia",https://g.co/kgs/YkPWtTg,https://wa.me/60162943515,Y,60162943515,6016-2943 515,"[""Valve"",""TPMS"",""Inflator""]",wix:image://v1/7bdb27_de65c53941324ae5b176377f35839719~mv2.png/Valve_TPMS_Inflator.png#originWidth=3160&originHeight=670,
16,Fastfit Motorsports Sdn Bhd (Semenyih),Alan,,,10,10,,,Nov 2025,June,Tyre Dealer ,Own Signage,Semenyih,Selangor,"No 1-5 Jalan Seri Mawar 1, Taman Seri Mawar, Semenyih, Selangor 43500",https://g.co/kgs/uwov6qY,https://wa.me/60177135599,Y,60177135599,6017-7135 599,"[""TPMS"",""Valve""]",wix:image://v1/7bdb27_0826bdb078cf4b099cb33b810ff324fc~mv2.png/TPMS_Valve.png#originWidth=3160&originHeight=670,
17,Hexagold Sdn Bhd,Alan,100,,10,10,1,,June 2025,June,Tyre Dealer ,Shell,Puchong,Selangor,"No.31 ,Jalan Puteri 5/3, Bandar Puteri Puchong, Puchong 47100 Malaysia",https://g.co/kgs/3w2KnpL,https://wa.me/60126623835,March26,60126623835,6012-6623 835,"[""Wiper"",""Valve"",""TPMS"",""Inflator""]",wix:image://v1/7bdb27_d1f473556a5f474595368a571cdd0475~mv2.png/Wiper_Valve_TPMS_Inflator.png#originWidth=3160&originHeight=670,
18,Shah Alam Tyres & Auto Accessories Sdn Bhd,Alan,100,,1,10,1,1,June 2025,June,Tyreplus,Tyreplus,Shah Alam,Selangor,"LOT 53,Jalan Utas 15/7, SEC 15, Shah Alam 40000 Malaysia",https://g.co/kgs/wQKT7oK,https://wa.me/60122351700,Y,60122351700,6012-2351 700,"[""Wiper"",""Valve"",""TPMS"",""Inflator"",""Tyre Repair Kit""]",wix:image://v1/7bdb27_83373460f4c6434b9da7cf5f395080a7~mv2.png/Wiper%20+%20TPMS%20+%20Valve%20+%20Inflator%20+%20Repair%20Kit.png#originWidth=3160&originHeight=670,
19,OS One Tyre Sdn Bhd,Liew,,1,1,2,1,,,June,Tyre Dealer ,Tayaria,Shah Alam,Selangor,"No. 3,Jalan Perapat 27/95, Taman Alam Megah, Seksyen 27, Shah Alam 40400 Malaysia",https://share.google/2PM3vnA2HdZVnb705,https://wa.me/60124381213,Y,60124381213,6012-4381 213,"[""Windshield Fluid"",""TPMS"",""Valve"",""Inflator""]",wix:image://v1/7bdb27_8db0706580074a10b165de0a4ba2dcd7~mv2.png/Fluid_TPMS_Valve_Inflator.png#originWidth=3160&originHeight=670,
20,VPG Motorsport Sdn Bhd,Liew,2,,1,,,,,June,WorkShop,Own Signage,Shah Alam,Selangor,"41, Jalan Serendah 26/39, Hicom Industrial Estate, Shah Alam 40400 Malaysia",https://share.google/mMYAqSj2I37NgRXUT,https://wa.me/60127106230,Y,60127106230,6012-7106 230,"[""Wiper"",""TPMS""]",wix:image://v1/7bdb27_9385d029c21f4d89bc42f3f8938cf3b6~mv2.png/Wiper_TPMS.png#originWidth=3160&originHeight=670,
21,Tong Mang Tyre Auto (M) Sdn Bhd,Alan,20,,,3,,,,June,Tyre Dealer ,Yokohama,Kepong,Kuala Lumpur,"2, Jalan Metro Perdana 8 Taman Usahawan Kepong Kuala Lumpur 52100 Malaysia",https://g.co/kgs/SLQ4ioq,https://wa.me/60176596108,Y,60176596108,6017-6596 108,"[""Wiper"",""Valve""]",wix:image://v1/7bdb27_2471275e9d3f4377995d5e5cd7bfb5c0~mv2.png/Wiper_Valve.png#originWidth=3160&originHeight=670,
22,Chuan Auto Tyre Service,Alan,,1,,10,,,,June,Tyre Dealer ,Eneos,Puchong,Selangor,No:35 Jalan Bandar 18 Pusat Bandar Puchong Puchong 47100 Malaysia,https://g.co/kgs/hp3Tktc,https://wa.me/60123819889,Y,60123819889,6012-3819 889,"[""Valve"",""Windshield Fluid""]",wix:image://v1/7bdb27_b3567b2abb41486ba3f81a7665952faa~mv2.png/Valve_Fluid.png#originWidth=3160&originHeight=670,
23,EC Care Auto Service Sdn Bhd,Alan,,,,10,,,,June,Tyre Dealer ,Total,Kepong,Kuala Lumpur,"69, Jalan Metro Perdana Timur 7 Kepong Entreprenurs Park Kuala Lumpur 52100 Malaysia",https://g.co/kgs/Mn2jqDd,https://wa.me/60124008802,Y,60124008802,6012-4008 802,"[""Wiper"",""Valve""]",wix:image://v1/7bdb27_2471275e9d3f4377995d5e5cd7bfb5c0~mv2.png/Wiper_Valve.png#originWidth=3160&originHeight=670,
24,WX Tyre & Auto Service Centre,Alan,55,,1,10,,,June 2025,June,Tyre Dealer ,Dunlop,Puchong,Selangor,"No.36,Jalan PP2/1, Taman Putra Prima Puchong 47100 Malaysia",https://g.co/kgs/TWAB9Ra,https://wa.me/60122893604,Y,60122893604,6012-2893 604,"[""Wiper"",""Valve"",""TPMS""]",wix:image://v1/7bdb27_286ffd9af8bd4a7c88402a0d76abefd7~mv2.png/Wiper_Valve_TPMS.png#originWidth=3160&originHeight=670,
25,Wan Henz Corporation Sdn Bhd,Alan,,,1,10,1,1,Jan 2026,June,Tyre Dealer ,Continental,Bangi,Selangor,"No.2, Jalan 4/11B, Jenis Kejora, Seksyen 4, Bandar Baru Bangi, Bandar Baru Bangi 43650 Malaysia",https://g.co/kgs/A1b6axn,https://wa.me/60193887211,Y,60193887211,6019-3887 211,"[""TPMS"",""Valve"",""Inflator"",""Tyre Repair Kit""]",wix:image://v1/7bdb27_a72bc59396cd4f9f8b337e098d9e8251~mv2.png/TPMS%20+%20Valve%20+%20Inflator%20+%20Repair%20Kit.png#originWidth=3160&originHeight=670,
26,Ah Man Tyre Service Centre Sdn Bhd,Liew,,2,,20,,,,June,Tyre Dealer ,Toyo,Puchong,Selangor,"No, 39-G, Jalan BK5A/2, Bandar Kinrara, Puchong 47180 Malaysia",https://share.google/ss09H6E5UF8ivdpNn,https://wa.me/60102257657,Y,60102257657,6010-2257 657,"[""Valve"",""Windshield Fluid""]",wix:image://v1/7bdb27_b3567b2abb41486ba3f81a7665952faa~mv2.png/Valve_Fluid.png#originWidth=3160&originHeight=670,
27,Meng Tyre Specialist Service,Liew,148,1,,2,,,Aug 2025,June,Tyre Dealer ,Own Signage,Seri Kembangan,Selangor,"No. 1-1, Jalan Equine 10D, Taman Equine, Seri Kembangan 43300 Malaysia",https://share.google/1LByT7GGZDpoyOwrB,https://wa.me/60173328386,Y,60173328386,6017-3328 386,"[""Wiper"",""Valve"",""Windshield Fluid""]",wix:image://v1/7bdb27_85daa6f70978496982fa00e506b4c965~mv2.png/Wiper_Valve_Fluid.png#originWidth=3160&originHeight=670,
28,Cedes & Carriage Garage Sdn Bhd,Alan,,,,10,,,,July,Tyreplus,Tyreplus,Setapak,Kuala Lumpur,"64-66, Jalan 2/23a, Taman Danau Kota, 53300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",https://g.co/kgs/JV8mzrL,https://wa.me/60137862862,Y,60137862862,6013-7862 862,"[""Valve""]",wix:image://v1/7bdb27_110173656c8c4335aecf23f4833f5b9f~mv2.png/Valve.png#originWidth=3160&originHeight=670,
29,Aso Tyre Service Centre (M) Sdn Bhd,Alan,110,,,,,,July 2025,July,Tyre Dealer ,Own Signage,Kuala Lumpur,Kuala Lumpur,"344, Jln Kampung Bandar Dalam, Kampung Bandar Dalam, Kuala Lumpur 51000 Malaysia",https://g.co/kgs/7JvZb4y,https://wa.me/60166209209,Y,60166209209,6016-6209 209,"[""Wiper""]",wix:image://v1/7bdb27_5062baa20f3445619f68013df5fd93f8~mv2.png/Wiper%20(1).png#originWidth=3160&originHeight=670,
30,Majestic Auto Car Care Service Sdn Bhd,Alan,50,1,1,2,,,Oct 2025,July,Tyre Dealer ,Nexen,Semenyih,Selangor,"No. 9 Vista Valley 1, Vista Valley, Semenyih 43500 Malaysia",https://g.co/kgs/vCQ7Wmi,https://wa.me/60102105812,Y,60102105812,6010-2105 812,"[""Wiper"",""Valve"",""TPMS"",""Windshield Fluid""]",wix:image://v1/7bdb27_89a864c7b6a44733a876e11d2ac27d80~mv2.png/Wiper_TPMS_Valve_Fluid.png#originWidth=3160&originHeight=670,
31,Empire Auto Car Care Sdn Bhd,Alan,150,1,,20,,2,July 2025,July,MEC,MEC,Semenyih,Selangor,"No. 70,Jalan TPS 1/7, Taman Pelangi Semenyih, Semenyih 43500 Malaysia",https://g.co/kgs/AU2q1eR,https://wa.me/60182218830,Y,60182218830,6018-2218 830,"[""Wiper"",""Valve"",""Windshield Fluid"",""Tyre Repair Kit""]",wix:image://v1/7bdb27_583bdbcbefb64543b99bbfee3d5a661e~mv2.png/Wiper%20+%20Valve%20+%20Fluid%20+%20Repair%20Kit.png#originWidth=3160&originHeight=670,
32,TT Star Tyres & Auto Service,Alan,150,1,,,,,July 2025,July,Tyre Dealer ,Own Signage,Batu Cave,Selangor,"No 13, Lorong Perusahaan Ringan 1, Kawasan Perusahaan Sesama, Batu Caves 68100 Malaysia",https://g.co/kgs/TsYi9pF,https://wa.me/60162190626,Y,60162190626,6016-2190 626,"[""Wiper"",""Windshield Fluid""]",wix:image://v1/7bdb27_05272b9d3809453486611a3514e423fd~mv2.png/Wiper_Fluid.png#originWidth=3160&originHeight=670,
33,CM Tyre Autocare,Liew,123,,,10,,,Oct 2025,July,Tyre Dealer ,Goodyear,Ampang,Selangor,"29G, Jln Wawasan 4/3, Bandar Baru Ampang, 68000 Ampang, Selangor",https://share.google/xafgO0KK21c7fWwKh,https://wa.me/60192008838,Y,60192008838,6019-2008 838,"[""Wiper"",""Valve""]",wix:image://v1/7bdb27_2471275e9d3f4377995d5e5cd7bfb5c0~mv2.png/Wiper_Valve.png#originWidth=3160&originHeight=670,
34,T align Sdn Bhd,Alan,,,,10,,,,July,MEC,MEC,Subang Jaya,Selangor,"1, Jalan PJS 7/17, Bandar Sunway, 46150 Subang Jaya, Selangor",https://share.google/HvSpWjgJeXNBqreWV,https://wa.me/60162102123,Y2,60162102123,6016-2102 123,"[""Valve""]",wix:image://v1/7bdb27_110173656c8c4335aecf23f4833f5b9f~mv2.png/Valve.png#originWidth=3160&originHeight=670,
35,New SPL Auto Centre Sdn Bhd,Liew,,,,10,,,,July,Tyre Dealer ,Toyo,Puchong,Selangor,"29, Jalan Helang 13, Bandar Puchong Jaya, 47100 Puchong, Selangor",https://share.google/LC4A7Z7iO7TfZxYO5,https://wa.me/60162143141,Y,60162143141,6016-2143 141,"[""Valve""]",wix:image://v1/7bdb27_110173656c8c4335aecf23f4833f5b9f~mv2.png/Valve.png#originWidth=3160&originHeight=670,
36,One Stop Auto Accessories & Aircond Centre,Alan,114,1,1,4,4,,July 2025,July,Tyre Dealer ,Tayaria,Ampang,Selangor,"Lot 1245, 2, Jln Ulu Klang, Kampung Berembang, 68000 Ampang, Selangor",https://share.google/z7fU66Hg3NI6vsOdc,https://wa.me/60123900009,Y2,60123900009,6012-3900 009,"[""Inflator"",""TPMS"",""Valve"",""Windshield Fluid"",""Wiper""]",wix:image://v1/7bdb27_0efcdfe4a1914e57983a868e8f93d24b~mv2.png/All.png#originWidth=3160&originHeight=670,
37,Wheelfire Sdn Bhd,Liew,,,,70,,,Mar'2026,July,Tyre Dealer ,Hankook,Klang,Selangor,"Lot 7419SRM, 1, Pandamaran, 42000 Pelabuhan Klang, Selangor",https://share.google/kbO7osbNTo8l6MCLe,https://wa.me/60162034233,Y,60162034233,6016-2034 233,"[""Valve""]",wix:image://v1/7bdb27_110173656c8c4335aecf23f4833f5b9f~mv2.png/Valve.png#originWidth=3160&originHeight=670,
38,GM Wheel Auto Sdn Bhd,Liew,150,1,1,1,1,1,Jan 2026,July,Tyre Dealer ,Fortune,Shah Alam,Selangor,"21, Jalan Penyelenggara U1/73, Hicom-glenmarie Industrial Park, 40150 Shah Alam, Selangor",https://share.google/NMXFhii8wWjHyqzVp,https://wa.me/601139030187,March26,601139030187,6011-3903 187,"[""Inflator"",""TPMS"",""Valve"",""Windshield Fluid"",""Wiper"",""Tyre Repair Kit""]",wix:image://v1/7bdb27_98a6de79cd334bb1a160b1de0917d976~mv2.png/Full%20Range.png#originWidth=3560&originHeight=670,
39,D'Performance Services Sdn Bhd,Liew,92,,,,,,Dec 2025,July,Tyre Dealer ,Yokohama,Ampang,Kuala Lumpur,"No.11, Jalan Excella 1 Taman, Ampang Hilir, 55100 Ampang, Wilayah Persekutuan Kuala Lumpur",https://share.google/cAgeeigh1KXlAzkJ0,https://wa.me/60122182008,Y,60122182008,6012-2182 008,"[""Wiper""]",wix:image://v1/7bdb27_5062baa20f3445619f68013df5fd93f8~mv2.png/Wiper%20(1).png#originWidth=3160&originHeight=670,
40,Ah Man Tyre Auto Service Sdn Bhd,Liew,190,,,,,,July 2025,July,Tyre Dealer ,Toyo,Bangi,Selangor,"No. 153, 155, Jalan 8/1, Seksyen 8, 43650 Bandar Baru Bangi, Selangor",https://share.google/YNtAxaPT6mf9RoqTQ,https://wa.me/60123119175,Y,60123119175,6012-3119 175,"[""Wiper""]",wix:image://v1/7bdb27_5062baa20f3445619f68013df5fd93f8~mv2.png/Wiper%20(1).png#originWidth=3160&originHeight=670,
41,Pang Tyre & Services Sdn Bhd,Alan,,,,10,,,Nov 2025,July,Tyre Dealer ,Own Signage,Bangi,Selangor,"21G, Jalan 7/7c, Seksyen 7 Bandar Baru Bangi, 43650 Bandar Baru Bangi, Selangor",https://share.google/VwKd7Ap7B4cOuZAj8,https://wa.me/60126575590,Y2,60126575590,6012-6575 590,"[""Valve""]",wix:image://v1/7bdb27_110173656c8c4335aecf23f4833f5b9f~mv2.png/Valve.png#originWidth=3160&originHeight=670,
42,JY Confidence Tyre & Car Service Sdn Bhd,Liew,,,1,,,,,July,WorkShop,Own Signage,Puchong,Selangor,"No. 70-1, Jalan PP 16/2,Perdana Industrian Park, Taman Putra Perdana,47100 Puchong, Selangor",https://share.google/34rbRgXquRFkBF5rl,https://wa.me/60127166585,Y,60127166585,6012-7166 585,"[""TPMS""]",wix:image://v1/7bdb27_dfd7eacbc63c4dd3a1dbd713d55f4024~mv2.png/TPMS.png#originWidth=3160&originHeight=670,
43,Soon Hing Tyre Car Care Service Centre,Liew,,,2,,,,,July,Tyre Dealer ,Own Signage,Petaling Jaya,Selangor,"No.22, Jalan SS3/33, Taman Universiti, 47300 Petaling Jaya, Selangor",https://share.google/CHL6vDF9UZ32CT4OE,https://wa.me/60126958347,Y,60126958347,6012-6958 347,"[""TPMS""]",wix:image://v1/7bdb27_dfd7eacbc63c4dd3a1dbd713d55f4024~mv2.png/TPMS.png#originWidth=3160&originHeight=670,
44,Eco Tyre Autocare Sdn Bhd,Alan,,,,5,,,,July,Tyre Dealer ,Shell,Shah Alam ,Selangor,"11, Jalan Penyelenggara U1/73, Hicom-glenmarie Industrial Park, 40150 Shah Alam, Selangor",https://share.google/jKjBwZWz4fPUshhgz,https://wa.me/60166898808,Y2,60166898808,6016-6898 808,"[""Valve""]",wix:image://v1/7bdb27_110173656c8c4335aecf23f4833f5b9f~mv2.png/Valve.png#originWidth=3160&originHeight=670,
45,T-Tyre & Auto Services (S.2) Sdn Bhd,Alan,,,,,1,,,July,Tyre Dealer ,Continental,Shah Alam ,Selangor,"No.1, Jln Apollo U5/186, Bdr Pinggiran Subang, Seksyen 1, 40150 Shah Alam, Selangor",https://share.google/RFJbsV6gUSfgUNqPr,https://wa.me/60126851888,Y2,60126851888,6012-6851 888,"[""Inflator""]",wix:image://v1/7bdb27_75598b88d9e2472c8078978540e07af1~mv2.png/Inflator.png#originWidth=3160&originHeight=670,
46,TH Two Tyres & Auto Services,Liew,173,2,,,,,July 2025,July,Tyre Dealer ,Bridgestone,Desa Petaling,Kuala Lumpur,"No. 3, Jalan 10/125D, Taman Desa Petaling, Desa Petaling, 57100 Kuala Lumpur",https://share.google/6OvjEomp4kZCHUpco,https://wa.me/60122102132,Y,60122102132,6012-2102 132,"[""Wiper"",""Windshield Fluid""]",wix:image://v1/7bdb27_05272b9d3809453486611a3514e423fd~mv2.png/Wiper_Fluid.png#originWidth=3160&originHeight=670,
47,My Tyre Centre Sdn Bhd,Alan,18,,,3,10,,Nov 2025,July,MEC,MEC,Petaling Jaya,Selangor,"40 & 42 Jalan SS 21/62 Damansara Utama Petaling Jaya, 47400 Selangor",https://share.google/u0lBrKo6ws7kSrJNR,https://wa.me/60122322092,March26,60122322092,6012-2322 092,"[""Wiper"",""Valve"",""Inflator""]",wix:image://v1/7bdb27_2c9927241cd34adebf17d812b49f8d5c~mv2.png/Wiper_Valve_Inflator.png#originWidth=3160&originHeight=670,
48,Mine Auto and Tyre Services Sdn. Bhd.,Alan,,,1,,1,,Jan 2026,July,Tyre Dealer ,Continental,Kajang,Selangor,"F-1-GA, Jalan Prima Saujana 2/D, Taman Prima Saujana, 43200 Kajang, Selangor",https://share.google/qHsffSonJN6nTuSGQ,https://wa.me/60126718559,Y2,60126718559,6012-6718 559,"[""Inflator"",""TPMS""]",wix:image://v1/7bdb27_48e4226c63bc44e69c28f6b5d0ef1626~mv2.png/TPMS_Inflator.png#originWidth=3160&originHeight=670,
49,Advance Autocare Services Sdn Bhd,Alan,102,,,2,2,,July 2025,July,Tyre Dealer ,Havoline,Kuala Lumpur,Kuala Lumpur,"19, Jalan 8/23a, Off, Jalan Genting Kelang, Medan Makmur, 53300 Kuala Lumpur",https://share.google/ziecvbe6sHXPhohjl,https://wa.me/60126256665,March26,60126256665,6012-6256 665,"[""Wiper"",""Valve"",""Inflator""]",wix:image://v1/7bdb27_2c9927241cd34adebf17d812b49f8d5c~mv2.png/Wiper_Valve_Inflator.png#originWidth=3160&originHeight=670,X
50,Idola Jaya Sdn Bhd,Alan,,,,10,,,,July,Tyre Dealer ,Goodyear,Kajang,Selangor,"No 23 , Laman Perniagaan Bahagia , Jalan 1 , Bandar Seri Putra , Kajang, 43000 Selangor, Selangor",https://share.google/CAsGwWqkTaQC0cY3J,https://wa.me/60162617737,Y2,60162617737,6016-2617 737,"[""Valve""]",wix:image://v1/7bdb27_110173656c8c4335aecf23f4833f5b9f~mv2.png/Valve.png#originWidth=3160&originHeight=670,
51,Kong Car Care Sdn Bhd,Alan,,,,,2,,,July,Tyre Dealer ,Goodyear,Kajang,Selangor,"Lot 1357, Batu 16, Jalan Semenyih, Kawasan Perniagaan Nilam, 43000 Kajang, Selangor",https://share.google/72JknfuSauR4SsmJr,https://wa.me/60162233220,Y2,60162233220,6016-2233 220,"[""Inflator""]",wix:image://v1/7bdb27_75598b88d9e2472c8078978540e07af1~mv2.png/Inflator.png#originWidth=3160&originHeight=670,
,Silicon Sales & Marketing Sdn Bhd,Alan,,,10,10,,10,July 2025,July,,,,,,,,,,,"[""Valve"",""TPMS"",""Inflator""]",wix:image://v1/7bdb27_de65c53941324ae5b176377f35839719~mv2.png/Valve_TPMS_Inflator.png#originWidth=3160&originHeight=670,
52,Silicon Auto (Alam Jaya) Sdn Bhd,Alan,,,1,1,,1,,,Tyre Dealer ,Goodyear,Cheras,Selangor,"No. 1, Jalan Emas 6, Taman Emas, Batu 8 ½ Cheras, 43200 Cheras, Selangor",https://share.google/J2QFvgSwDQPJNVKre,https://wa.me/60162177183,Y2,60162177183,6016-2177 183,"[""Valve"",""TPMS"",""Tyre Repair Kit""]",wix:image://v1/7bdb27_db19afea413746e8a69e4cc674ecca06~mv2.png/TPMS%20+%20Valve%20+%20Repair%20Kit.png#originWidth=3160&originHeight=670,
53,Silicon Auto (Bangi) Sdn Bhd,Alan,,,1,1,,1,,,Tyre Dealer ,Goodyear,Bangi,Selangor,"No. 49, Jalan 8/1, Seksyen 8, 43650 Bandar Baru Bangi, Selangor.",https://share.google/KenseV9TdCvF3p9aw,https://wa.me/60162177184,Y2,60162177184,6016-2177 184,"[""Valve"",""TPMS"",""Tyre Repair Kit""]",wix:image://v1/7bdb27_db19afea413746e8a69e4cc674ecca06~mv2.png/TPMS%20+%20Valve%20+%20Repair%20Kit.png#originWidth=3160&originHeight=670,
